#Run,conv1_block,base_filter_num,conv1_kernel,conv2_kernel,dense_size,drop,batch_size,learning_rate,avg_loss_validation,avg_accuracy_validation
113,2,35,37,41,55,0.5245055665450743,4,0.4252346334528682,2.536734546653528,0.1069958848349842
114,5,20,27,36,10,0.32119503948578104,4,0.05994842503189409,1.9542500644063754,0.24691357975634037
115,5,45,10,12,51,0.8719944380672605,8,3.9318287557057703,14.260866286823289,0.11522633750988132
116,5,27,18,36,90,0.00900955911453164,4,0.13904108340900698,2.4274975792370705,0.12757201658354866
117,6,50,17,49,11,0.8644446284721001,4,0.0001135154708920999,2.470422167836884,0.12757201658354866
118,3,44,24,24,46,0.700988288477424,32,0.11969557023590428,1.4638425307999914,0.2757201636279071
119,1,22,43,25,97,0.13699407485367116,8,3.5444556739704356,13.730229652467578,0.1481481482094698
120,3,37,8,38,48,0.43089208781455235,16,0.03959110266468459,1.0276241241168584,0.5967078181941814
121,6,33,32,17,29,0.38942998859745537,32,0.03780746663599349,2.5209263224660616,0.19341563792140395
122,1,43,15,17,35,0.23815013410088923,16,9.119267598459299,13.730229652467578,0.1481481482094698
123,3,21,15,6,30,0.23054494169186165,32,0.001911090621689138,0.3239320553072686,0.880658437930998
124,3,26,30,32,86,0.26595136668651853,8,0.007886728615614156,0.34188843487834736,0.8641975325812038
125,5,27,49,20,64,0.024232260980616795,64,0.0006394488428556943,0.5945935124232445,0.8148148165318211
126,4,33,39,9,67,0.34475683401777324,32,0.0006321218475812448,0.4176658349027359,0.7818930046057996
127,2,33,46,24,21,0.1783395678098844,16,0.0642403365939419,1.1247596264866644,0.4609053506527418
128,1,30,30,16,71,0.5577717825290613,32,0.4014242490499322,2.4185606177451677,0.1069958848349842
129,1,27,32,39,48,0.8779757713496102,16,0.01387209780541621,0.9592951629387498,0.5884773684627235
130,5,40,13,5,48,0.09578088882699988,8,0.050431594871713586,1.9773354859018522,0.19341563871858541
131,4,5,14,8,99,0.8817092924259635,8,0.001124737178364752,2.4155952871581654,0.12757201658354866
132,3,39,42,40,60,0.16867001867944637,4,0.0077963601304052365,0.3919772740928725,0.8559670799063066
133,5,26,50,3,27,0.459286996796044,32,0.025258200269627846,1.4257690673502383,0.4074074071621208
134,1,48,33,38,54,0.8642461851752684,4,1.9466563433422632,15.52112861915871,0.037037037037037035
